"","idstatefrom","idaction","idstateto","reward","step","episode"
"1",10,1,5,99.9999999999968,0,0
"2",5,0,12,974.999999999956,1,0
"3",12,1,7,55.9999999999991,2,0
"4",7,0,18,950.999999999995,3,0
"5",18,1,23,-124,4,0
"6",23,4,16,-448.99999999998,5,0
"7",16,1,6,-56.0000000000001,6,0
"8",6,0,15,963.999999999998,7,0
"9",15,1,5,-25.0000000000001,8,0
"10",5,0,8,974.999999999986,9,0
"11",8,0,20,935.999999999983,10,0
"12",20,3,21,-280,11,0
"13",21,3,15,-320.999999999995,12,0
"14",15,1,14,-24.9999999999994,13,0
"15",14,1,14,4,14,0
"16",14,1,15,4,15,0
"17",15,1,6,-24.9999999999997,16,0
"18",6,0,13,963.999999999998,17,0
"19",13,1,15,31.0000000000001,18,0
"20",15,1,10,-24.9999999999992,19,0
"21",10,1,20,100,20,0
"22",20,3,17,-279.999999999998,21,0
"23",17,2,8,-128.999999999999,22,0
"24",8,0,23,935.999999999995,23,0
"25",23,4,16,-448.99999999998,24,0
"26",16,1,11,-55.9999999999987,25,0
"27",11,1,7,78.9999999999989,26,0
"28",7,0,12,950.999999999996,27,0
"29",12,1,17,56.0000000000004,28,0
"30",17,2,8,-128.999999999999,29,0
"31",8,0,18,935.999999999976,30,0
"32",18,1,10,-123.999999999997,31,0
"33",10,1,9,99.9999999999968,32,0
"34",9,1,4,118.999999999997,33,0
"35",4,0,7,983.999999999984,34,0
"36",7,0,15,950.999999999995,35,0
"37",15,1,20,-25,36,0
"38",20,3,14,-279.999999999991,37,0
"39",14,1,6,4,38,0
"40",6,0,17,963.999999999998,39,0
"41",17,2,8,-128.999999999999,40,0
"42",8,0,20,935.999999999983,41,0
"43",20,3,16,-279.999999999995,42,0
"44",16,1,16,-55.9999999999994,43,0
"45",16,1,20,-56.0000000000005,44,0
"46",20,3,12,-279.999999999991,45,0
"47",12,1,10,55.9999999999986,46,0
"48",10,1,15,99.9999999999983,47,0
"49",15,1,18,-24.9999999999998,48,0
"50",18,1,11,-123.999999999998,49,0
"51",11,1,9,78.9999999999989,50,0
"52",9,1,6,118.999999999999,51,0
"53",6,0,15,963.999999999998,52,0
"54",15,1,6,-24.9999999999997,53,0
"55",6,0,14,963.999999999998,54,0
"56",14,1,15,4,55,0
"57",15,1,19,-25,56,0
"58",19,3,18,-241,57,0
"59",18,1,9,-123.999999999997,58,0
"60",9,1,5,118.999999999998,59,0
"61",5,0,11,974.999999999957,60,0
"62",11,1,9,78.9999999999989,61,0
"63",9,1,12,118.999999999997,62,0
"64",12,1,7,55.9999999999991,63,0
"65",7,0,14,950.999999999995,64,0
"66",14,1,13,4,65,0
